year,local_day,LOCAL_HOUR_END,tot_solar_mwh,_FREQ_
2019,1-Feb-19,13,394.599,900
2019,1-Feb-19,14,369.815,883
2019,1-Feb-19,15,288.327,844
2019,1-Feb-19,16,150.246,746
2019,1-Feb-19,17,30.602,557
2019,1-Feb-19,18,1.158,14
2019,1-Feb-19,19,,
2019,1-Feb-19,20,,
2019,1-Feb-19,21,,
2019,1-Feb-19,22,,
2019,1-Feb-19,23,,
2019,1-Feb-19,24,,
2019,2-Feb-19,1,,
2019,2-Feb-19,2,,
2019,2-Feb-19,3,,
2019,2-Feb-19,4,,
2019,2-Feb-19,5,,
2019,2-Feb-19,6,,
2019,2-Feb-19,7,1.831,10
2019,2-Feb-19,8,31.624,531
2019,2-Feb-19,9,180.081,793
2019,2-Feb-19,10,343.1,913
2019,2-Feb-19,11,448.083,957
2019,2-Feb-19,12,449.618,965
2019,2-Feb-19,13,461.291,968
2019,2-Feb-19,14,408.458,963
2019,2-Feb-19,15,271.194,911
2019,2-Feb-19,16,129.489,780
2019,2-Feb-19,17,28.423,616
2019,2-Feb-19,18,1.743,11
2019,2-Feb-19,19,,
2019,2-Feb-19,20,,
2019,2-Feb-19,21,,
2019,2-Feb-19,22,,
2019,2-Feb-19,23,,
2019,2-Feb-19,24,,
2019,3-Feb-19,1,,
2019,3-Feb-19,2,,
2019,3-Feb-19,3,,
2019,3-Feb-19,4,,
2019,3-Feb-19,5,,
2019,3-Feb-19,6,,
2019,3-Feb-19,7,0.925,9
2019,3-Feb-19,8,7.222,424
2019,3-Feb-19,9,38.472,634
2019,3-Feb-19,10,74.455,749
2019,3-Feb-19,11,114.714,831
2019,3-Feb-19,12,137.834,863
2019,3-Feb-19,13,161.838,871
2019,3-Feb-19,14,213.085,903
2019,3-Feb-19,15,344.19,957
2019,3-Feb-19,16,256.458,891
2019,3-Feb-19,17,49.135,715
2019,3-Feb-19,18,1.6,24
2019,3-Feb-19,19,,
2019,3-Feb-19,20,,
